total_time_us,basis,seed,bare_qubit_failure_rate,rounds,interval_us,idle_per_round_us,shots,logical_failures,logical_failure_rate,confidence_low,confidence_high,raw_logical_failure_rate,mean_detection_events,decoder_interval_bit_error,decoder_syndrome_bit_error,decoder_terminal_bit_error,logical_fidelity,fidelity_low,fidelity_high
10,Z,2026090600,0.03389758199465015,0,10,10,5000,72,0.0144,0.011450945038477642,0.01809464709056184,0.093,0.0,0.0,0.0,0.03389758199465015,0.9856,0.9819053529094381,0.9885490549615223
16,Z,2026090601,0.0476729902705485,0,16,16,5000,167,0.0334,0.028766903125880965,0.03874951632924636,0.1258,0.0,0.0,0.0,0.0476729902705485,0.9666,0.9612504836707536,0.9712330968741191
20,Z,2026090602,0.05662966516237983,0,20,20,5000,227,0.0454,0.03997032004356251,0.05152767456488345,0.1498,0.0,0.0,0.0,0.05662966516237983,0.9546,0.9484723254351165,0.9600296799564375
30,Z,2026090603,0.07825309155172167,0,30,30,5000,448,0.0896,0.08199533469929988,0.09783479505720301,0.2108,0.0,0.0,0.0,0.07825309155172167,0.9104,0.902165204942797,0.9180046653007001
40,Z,2026090604,0.09882193099178893,0,40,40,5000,580,0.116,0.10741729036033222,0.12517230473347168,0.2534,0.0,0.0,0.0,0.09882193099178893,0.884,0.8748276952665284,0.8925827096396678
50,Z,2026090605,0.1183876162950116,0,50,50,5000,770,0.154,0.14426113404221919,0.16427011570376038,0.2848,0.0,0.0,0.0,0.1183876162950116,0.846,0.8357298842962396,0.8557388659577808
65,Z,2026090606,0.1459615967153846,0,65,65,5000,1077,0.2154,0.204225878703393,0.22701109724373356,0.3268,0.0,0.0,0.0,0.1459615967153846,0.7846,0.7729889027562664,0.795774121296607
80,Z,2026090607,0.17154317744253672,0,80,80,5000,1359,0.2718,0.2596472572910054,0.28430312187671875,0.3682,0.0,0.0,0.0,0.17154317744253672,0.7282,0.7156968781232813,0.7403527427089946
100,Z,2026090608,0.20279997674080963,0,100,100,5000,1614,0.3228,0.3099807956047949,0.3358912779645334,0.4044,0.0,0.0,0.0,0.20279997674080963,0.6772,0.6641087220354667,0.6900192043952051
125,Z,2026090609,0.23772190002569477,0,125,125,5000,1857,0.3714,0.3581107090993319,0.38488674384093685,0.42,0.0,0.0,0.0,0.23772190002569477,0.6286,0.6151132561590631,0.6418892909006682
150,Z,2026090610,0.2685403891569028,0,150,150,5000,2048,0.4096,0.39604381698272256,0.42329498352894385,0.4366,0.0,0.0,0.0,0.2685403891569028,0.5904,0.5767050164710561,0.6039561830172775
