total_time_us,basis,seed,bare_qubit_failure_rate,rounds,interval_us,idle_per_round_us,shots,logical_failures,logical_failure_rate,confidence_low,confidence_high,raw_logical_failure_rate,mean_detection_events,decoder_interval_bit_error,decoder_syndrome_bit_error,decoder_terminal_bit_error,logical_fidelity,fidelity_low,fidelity_high
10,Z,2026090600,0.038821069206884884,0,10,10,5000,304,0.0608,0.05450754066849116,0.06776680872004703,0.1448,0.0,0.0,0.0,0.038821069206884884,0.9392,0.932233191279953,0.9454924593315088
16,Z,2026090601,0.04975760022524989,0,16,16,5000,386,0.0772,0.07012211422576302,0.0849270545389773,0.1692,0.0,0.0,0.0,0.04975760022524989,0.9228,0.9150729454610227,0.929877885774237
20,Z,2026090602,0.056904153734414875,0,20,20,5000,440,0.088,0.08046054825312766,0.09617203814959939,0.1824,0.0,0.0,0.0,0.056904153734414875,0.912,0.9038279618504006,0.9195394517468723
30,Z,2026090603,0.07427819037576444,0,30,30,5000,585,0.117,0.1083834457341636,0.1262046139557502,0.2248,0.0,0.0,0.0,0.07427819037576444,0.883,0.8737953860442498,0.8916165542658364
40,Z,2026090604,0.09097098129621856,0,40,40,5000,738,0.1476,0.13803890413732042,0.1577021721935559,0.2502,0.0,0.0,0.0,0.09097098129621856,0.8524,0.8422978278064441,0.8619610958626795
50,Z,2026090605,0.10700923852256872,0,50,50,5000,888,0.1776,0.16725550754573454,0.18843950666843834,0.284,0.0,0.0,0.0,0.10700923852256872,0.8224,0.8115604933315617,0.8327444924542655
65,Z,2026090606,0.12989523881428822,0,65,65,5000,1073,0.2146,0.20344185542746437,0.22619634884277431,0.3152,0.0,0.0,0.0,0.12989523881428822,0.7854,0.7738036511572257,0.7965581445725356
80,Z,2026090607,0.15144846220462838,0,80,80,5000,1236,0.2472,0.23543995533014261,0.25934819477327836,0.3584,0.0,0.0,0.0,0.15144846220462838,0.7528,0.7406518052267217,0.7645600446698574
100,Z,2026090608,0.17824637790289316,0,100,100,5000,1459,0.2918,0.2793632775545869,0.3045563935353349,0.3818,0.0,0.0,0.0,0.17824637790289316,0.7081999999999999,0.6954436064646651,0.7206367224454131
125,Z,2026090609,0.20886528333793597,0,125,125,5000,1680,0.336,0.32303799930113547,0.3492138069368434,0.4168,0.0,0.0,0.0,0.20886528333793597,0.6639999999999999,0.6507861930631567,0.6769620006988646
150,Z,2026090610,0.23657041467486734,0,150,150,5000,1878,0.3756,0.3622770766201739,0.38911392762375635,0.433,0.0,0.0,0.0,0.23657041467486734,0.6244000000000001,0.6108860723762437,0.6377229233798261
175,Z,2026090611,0.26163905418012345,0,175,175,5000,2014,0.4028,0.3892849948300181,0.4164642464281011,0.4572,0.0,0.0,0.0,0.26163905418012345,0.5972,0.5835357535718989,0.6107150051699819
200,Z,2026090612,0.2843220972237337,0,200,200,5000,2122,0.4244,0.41076347139853897,0.43815260513555376,0.467,0.0,0.0,0.0,0.2843220972237337,0.5756,0.5618473948644462,0.589236528601461
10,Z,2026091600,0.038821069206884884,1,10.0,9.0,5000,357,0.0714,0.06458701559947405,0.07887105850782894,0.1552,0.5036,0.03042425155100692,0.043548298447999984,0.020000000000000018,0.9286,0.9211289414921711,0.9354129844005259
16,Z,2026091601,0.04975760022524989,1,16.0,15.0,5000,440,0.088,0.08046054825312766,0.09617203814959939,0.1796,0.5996,0.04155990714037333,0.043548298447999984,0.020000000000000018,0.912,0.9038279618504006,0.9195394517468723
20,Z,2026091602,0.056904153734414875,1,20.0,19.0,5000,482,0.0964,0.08852643154627349,0.10489325746377662,0.1938,0.6624,0.04883658000815955,0.043548298447999984,0.020000000000000018,0.9036,0.8951067425362234,0.9114735684537265
30,Z,2026091603,0.07427819037576444,1,30.0,29.0,5000,597,0.1194,0.11070306335447491,0.12868131136610259,0.2332,0.8122,0.06652695073999554,0.043548298447999984,0.020000000000000018,0.8806,0.8713186886338974,0.8892969366455251
40,Z,2026091604,0.09097098129621856,1,40.0,39.0,5000,746,0.1492,0.13959387965587444,0.1593447400287777,0.2598,0.9528,0.08352367211383299,0.043548298447999984,0.020000000000000018,0.8508,0.8406552599712223,0.8604061203441256
50,Z,2026091605,0.10700923852256872,1,50.0,49.0,5000,907,0.1814,0.17096474960085867,0.19232443007853178,0.286,1.0524,0.09985394251003055,0.043548298447999984,0.020000000000000018,0.8186,0.8076755699214682,0.8290352503991414
65,Z,2026091606,0.12989523881428822,1,65.0,64.0,5000,1073,0.2146,0.20344185542746437,0.22619634884277431,0.3172,1.1924,0.12315663480238292,0.043548298447999984,0.020000000000000018,0.7854,0.7738036511572257,0.7965581445725356
80,Z,2026091607,0.15144846220462838,1,80.0,79.0,5000,1253,0.2506,0.23878268442312092,0.2628002453070737,0.3578,1.3306,0.14510228394034747,0.043548298447999984,0.020000000000000018,0.7494000000000001,0.7371997546929263,0.7612173155768791
100,Z,2026091608,0.17824637790289316,1,100.0,99.0,5000,1444,0.2888,0.27640395039937093,0.3015203269022213,0.3874,1.4508,0.1723881170100519,0.043548298447999984,0.020000000000000018,0.7112,0.6984796730977787,0.7235960496006291
125,Z,2026091609,0.20886528333793597,1,125.0,124.0,5000,1706,0.3412,0.32818490719296667,0.35445891494478354,0.4194,1.5758,0.2035645096774764,0.043548298447999984,0.020000000000000018,0.6588,0.6455410850552165,0.6718150928070333
150,Z,2026091610,0.23657041467486734,1,150.0,149.0,5000,1875,0.375,0.3616818152778315,0.38851011020843285,0.4346,1.685,0.2317740763223441,0.043548298447999984,0.020000000000000018,0.625,0.6114898897915672,0.6383181847221685
175,Z,2026091611,0.26163905418012345,1,175.0,174.0,5000,2013,0.4026,0.38908624690059396,0.4162633014383033,0.4498,1.7498,0.2572991477691995,0.043548298447999984,0.020000000000000018,0.5973999999999999,0.5837366985616967,0.610913753099406
200,Z,2026091612,0.2843220972237337,1,200.0,199.0,5000,2108,0.4216,0.40797770330766836,0.4353426723573166,0.462,1.7874,0.28039518751235554,0.043548298447999984,0.020000000000000018,0.5784,0.5646573276426834,0.5920222966923316
10,Z,2026092600,0.038821069206884884,2,5.0,4.0,5000,405,0.081,0.07375526540604449,0.0888880688239134,0.1744,0.9174,0.020938192188270477,0.043548298447999984,0.020000000000000018,0.919,0.9111119311760866,0.9262447345939555
16,Z,2026092601,0.04975760022524989,2,8.0,7.0,5000,442,0.0884,0.08084417271707507,0.09658779952409598,0.1992,1.0254,0.026652578988731468,0.043548298447999984,0.020000000000000018,0.9116,0.903412200475904,0.9191558272829249
20,Z,2026092602,0.056904153734414875,2,10.0,9.0,5000,516,0.1032,0.09506996784785657,0.11193928041574078,0.2146,1.0884,0.03042425155100692,0.043548298447999984,0.020000000000000018,0.8968,0.8880607195842593,0.9049300321521434
30,Z,2026092603,0.07427819037576444,2,15.0,14.0,5000,611,0.1222,0.11341075757583895,0.13156931801384625,0.2434,1.2424,0.039722474353270365,0.043548298447999984,0.020000000000000018,0.8778,0.8684306819861538,0.886589242424161
40,Z,2026092604,0.09097098129621856,2,20.0,19.0,5000,714,0.1428,0.133376379000612,0.15277206726893688,0.27,1.3824,0.04883658000815955,0.043548298447999984,0.020000000000000018,0.8572,0.8472279327310631,0.8666236209993881
50,Z,2026092605,0.10700923852256872,2,25.0,24.0,5000,800,0.16,0.15009995217412261,0.17042208514851628,0.292,1.5224,0.05777021427945955,0.043548298447999984,0.020000000000000018,0.84,0.8295779148514837,0.8499000478258774
65,Z,2026092606,0.12989523881428822,2,32.5,31.5,5000,977,0.1954,0.18464512546527756,0.20662255855965128,0.3372,1.7478,0.07084007964538769,0.043548298447999984,0.020000000000000018,0.8046,0.7933774414403487,0.8153548745347224
80,Z,2026092607,0.15144846220462838,2,40.0,39.0,5000,1172,0.2344,0.22286461769512136,0.246343185578093,0.3598,1.9524,0.08352367211383299,0.043548298447999984,0.020000000000000018,0.7656000000000001,0.753656814421907,0.7771353823048787
100,Z,2026092608,0.17824637790289316,2,50.0,49.0,5000,1384,0.2768,0.26457339609327135,0.2893693060550022,0.387,2.1598,0.09985394251003055,0.043548298447999984,0.020000000000000018,0.7232000000000001,0.7106306939449978,0.7354266039067286
